ticker,company_name,sector_ic,subsector_ic
BUDI,Budi Starch & Sweetener Tbk.,consumer_non_cyclicals,
BUKA,Bukalapak.com Tbk.,technology,
BUKK,Bukaka Teknik Utama Tbk.,infrastructures,
BULL,Buana Lintas Lautan Tbk.,energy,
BUMI,Bumi Resources Tbk.,energy,
BUVA,Bukit Uluwatu Villa Tbk.,consumer_cyclicals,
BVIC,Bank Victoria International Tb,financials,
BWPT,Eagle High Plantations Tbk.,consumer_non_cyclicals,
BYAN,Bayan Resources Tbk.,energy,
CAKK,Cahayaputra Asa Keramik Tbk.,industrials,
CAMP,Campina Ice Cream Industry Tbk,consumer_non_cyclicals,
CANI,Capitol Nusantara Indonesia Tb,energy,
CARE,Metro Healthcare Indonesia Tbk,healthcare,
CARS,Industri dan Perdagangan Bintr,consumer_cyclicals,
CASA,Capital Financial Indonesia Tb,financials,
CASH,Cashlez Worldwide Indonesia Tb,technology,
CASS,Cahaya Aero Services Tbk.,infrastructures,
CBDK,Bangun Kosambi Sukses Tbk.,properties_real_estate,
CBMF,Cahaya Bintang Medan Tbk.,consumer_cyclicals,
CBPE,Citra Buana Prasida Tbk.,properties_real_estate,
CBRE,Cakra Buana Resources Energi T,energy,
CBUT,Citra Borneo Utama Tbk.,consumer_non_cyclicals,
CCSI,Communication Cable Systems In,industrials,
CDIA,Chandra Daya Investasi Tbk.,infrastructures,
CEKA,Wilmar Cahaya Indonesia Tbk.,consumer_non_cyclicals,
CENT,Centratama Telekomunikasi Indo,infrastructures,
CFIN,Clipan Finance Indonesia Tbk.,financials,
CGAS,Citra Nusantara Gemilang Tbk.,energy,
CHEK,Diastika Biotekindo Tbk.,healthcare,
CHEM,Chemstar Indonesia Tbk.,basic_materials,
CHIP,Pelita Teknologi Global Tbk.,technology,
CINT,Chitose Internasional Tbk.,consumer_cyclicals,
CITA,Cita Mineral Investindo Tbk.,basic_materials,
CITY,Natura City Developments Tbk.,properties_real_estate,
CLAY,Citra Putra Realty Tbk.,consumer_cyclicals,
CLEO,Sariguna Primatirta Tbk.,consumer_non_cyclicals,
CLPI,Colorpak Indonesia Tbk.,basic_materials,
CMNP,Citra Marga Nusaphala Persada ,infrastructures,
CMNT,Cemindo Gemilang Tbk.,basic_materials,
CMPP,AirAsia Indonesia Tbk.,transportasi_dan_logistik,
CMRY,Cisarua Mountain Dairy Tbk.,consumer_non_cyclicals,
CNKO,Exploitasi Energi Indonesia Tb,energy,
CNMA,Nusantara Sejahtera Raya Tbk.,consumer_cyclicals,
CNTX,Century Textile Industry Tbk.,consumer_cyclicals,
COAL,Black Diamond Resources Tbk.,energy,
COCO,Wahana Interfood Nusantara Tbk,consumer_non_cyclicals,
COIN,Indokripto Koin Semesta Tbk.,financials,
COWL,Cowell Development Tbk.,properties_real_estate,
CPIN,Charoen Pokphand Indonesia Tbk,consumer_non_cyclicals,
CPRI,Capri Nusa Satu Properti Tbk.,properties_real_estate,
CPRO,Central Proteina Prima Tbk.,consumer_non_cyclicals,
CRAB,Toba Surimi Industries Tbk.,consumer_non_cyclicals,
CRSN,Carsurin Tbk.,industrials,
CSAP,Catur Sentosa Adiprana Tbk.,consumer_cyclicals,
CSIS,Cahayasakti Investindo Sukses ,properties_real_estate,
CSMI,Cipta Selera Murni Tbk.,consumer_cyclicals,
CSRA,Cisadane Sawit Raya Tbk.,consumer_non_cyclicals,
CTBN,Citra Tubindo Tbk.,basic_materials,
CTRA,Ciputra Development Tbk.,properties_real_estate,
CTTH,Citatah Tbk.,industrials,
CUAN,Petrindo Jaya Kreasi Tbk.,energy,
CYBR,ITSEC Asia Tbk.,technology,
DAAZ,Daaz Bara Lestari Tbk.,basic_materials,
DADA,Diamond Citra Propertindo Tbk.,properties_real_estate,
DART,Duta Anggada Realty Tbk.,properties_real_estate,
DATA,Remala Abadi Tbk.,infrastructures,
DAYA,Duta Intidaya Tbk.,consumer_non_cyclicals,
DCII,DCI Indonesia Tbk.,technology,
DEAL,Dewata Freightinternational Tb,transportasi_dan_logistik,
DEFI,Danasupra Erapacific Tbk.,financials,
DEPO,Caturkarda Depo Bangunan Tbk.,consumer_cyclicals,
DEWA,Darma Henwa Tbk,energy,
DEWI,Dewi Shri Farmindo Tbk.,consumer_non_cyclicals,
DFAM,Dafam Property Indonesia Tbk.,consumer_cyclicals,
DGIK,Nusa Konstruksi Enjiniring Tbk,infrastructures,
DGNS,Diagnos Laboratorium Utama Tbk,healthcare,
DGWG,Delta Giri Wacana Tbk.,basic_materials,
DIGI,Arkadia Digital Media Tbk.,consumer_cyclicals,
DILD,Intiland Development Tbk.,properties_real_estate,
DIVA,Distribusi Voucher Nusantara T,technology,
DKFT,Central Omega Resources Tbk.,basic_materials,
DKHH,Cipta Sarana Medika Tbk.,healthcare,
DLTA,Delta Djakarta Tbk.,consumer_non_cyclicals,
DMAS,Puradelta Lestari Tbk.,properties_real_estate,
DMMX,Digital Mediatama Maxima Tbk.,technology,
DMND,Diamond Food Indonesia Tbk.,consumer_non_cyclicals,
DNAR,Bank Oke Indonesia Tbk.,financials,
DNET,Indoritel Makmur Internasional,financials,
DOID,BUMA Internasional Grup Tbk.,energy,
DOOH,Era Media Sejahtera Tbk.,consumer_cyclicals,
DOSS,Global Sukses Digital Tbk.,consumer_cyclicals,
DPNS,Duta Pertiwi Nusantara Tbk.,basic_materials,
DPUM,Dua Putra Utama Makmur Tbk.,consumer_non_cyclicals,
DRMA,Dharma Polimetal Tbk.,consumer_cyclicals,
DSFI,Dharma Samudera Fishing Indust,consumer_non_cyclicals,
DSNG,Dharma Satya Nusantara Tbk.,consumer_non_cyclicals,
DSSA,Dian Swastatika Sentosa Tbk,energy,
DUCK,Jaya Bersama Indo Tbk.,consumer_cyclicals,
DUTI,Duta Pertiwi Tbk,properties_real_estate,
DVLA,Darya-Varia Laboratoria Tbk.,healthcare,
DWGL,Dwi Guna Laksana Tbk.,energy,
DYAN,Dyandra Media International Tb,industrials,
EAST,Eastparc Hotel Tbk.,consumer_cyclicals,
ECII,Electronic City Indonesia Tbk.,consumer_cyclicals,
EDGE,Indointernet Tbk.,technology,
EKAD,Ekadharma International Tbk.,basic_materials,
ELIT,Data Sinergitama Jaya Tbk.,technology,
ELPI,Pelayaran Nasional Ekalya Purn,transportasi_dan_logistik,
ELSA,Elnusa Tbk.,energy,
ELTY,Bakrieland Development Tbk.,properties_real_estate,
EMAS,Merdeka Gold Resources Tbk.,basic_materials,
EMDE,Megapolitan Developments Tbk.,properties_real_estate,
EMTK,Elang Mahkota Teknologi Tbk.,technology,
ENAK,Champ Resto Indonesia Tbk.,consumer_cyclicals,
ENRG,Energi Mega Persada Tbk.,energy,
ENVY,Envy Technologies Indonesia Tb,technology,
ENZO,Morenzo Abadi Perkasa Tbk.,consumer_non_cyclicals,
EPAC,Megalestari Epack Sentosaraya ,basic_materials,
EPMT,Enseval Putera Megatrading Tbk,consumer_non_cyclicals,
ERAA,Erajaya Swasembada Tbk.,consumer_cyclicals,
ERAL,Sinar Eka Selaras Tbk.,consumer_cyclicals,
ERTX,Eratex Djaja Tbk.,consumer_cyclicals,
ESIP,Sinergi Inti Plastindo Tbk.,basic_materials,
ESSA,ESSA Industries Indonesia Tbk.,basic_materials,
ESTA,Esta Multi Usaha Tbk.,consumer_cyclicals,
ESTI,Ever Shine Tex Tbk.,consumer_cyclicals,
ETWA,Eterindo Wahanatama Tbk,basic_materials,
EURO,Estee Gold Feet Tbk.,consumer_non_cyclicals,
EXCL,XLSMART Telecom Sejahtera Tbk.,infrastructures,
FAPA,FAP Agri Tbk.,consumer_non_cyclicals,
FAST,Fast Food Indonesia Tbk.,consumer_cyclicals,
FASW,Fajar Surya Wisesa Tbk.,basic_materials,
FILM,MD Entertainment Tbk.,consumer_cyclicals,
FIMP,Fimperkasa Utama Tbk.,infrastructures,
FIRE,Alfa Energi Investama Tbk.,energy,
FISH,FKS Multi Agro Tbk.,consumer_non_cyclicals,
FITT,Hotel Fitra International Tbk.,consumer_cyclicals,
FLMC,Falmaco Nonwoven Industri Tbk.,consumer_non_cyclicals,
FMII,Fortune Mate Indonesia Tbk,properties_real_estate,
FOLK,Multi Garam Utama Tbk.,industrials,
FOOD,Sentra Food Indonesia Tbk.,consumer_non_cyclicals,
FORE,Fore Kopi Indonesia Tbk.,consumer_non_cyclicals,
FORU,Fortune Indonesia Tbk,consumer_cyclicals,
FPNI,Lotte Chemical Titan Tbk.,basic_materials,
FUJI,Fuji Finance Indonesia Tbk.,financials,
FUTR,Futura Energi Global Tbk.,consumer_cyclicals,
FWCT,Wijaya Cahaya Timber Tbk.,basic_materials,
GAMA,Aksara Global Development Tbk.,properties_real_estate,
GDST,Gunawan Dianjaya Steel Tbk.,basic_materials,
GDYR,Goodyear Indonesia Tbk.,consumer_cyclicals,
GEMA,Gema Grahasarana Tbk.,consumer_cyclicals,
GEMS,Golden Energy Mines Tbk.,energy,
GGRM,Gudang Garam Tbk.,consumer_non_cyclicals,
GGRP,Gunung Raja Paksi Tbk.,basic_materials,
GHON,Gihon Telekomunikasi Indonesia,infrastructures,
GIAA,Garuda Indonesia (Persero) Tbk,transportasi_dan_logistik,
GJTL,Gajah Tunggal Tbk.,consumer_cyclicals,
GLOB,Globe Kita Terang Tbk.,consumer_cyclicals,
GLVA,Galva Technologies Tbk.,technology,
GMFI,Garuda Maintenance Facility Ae,infrastructures,
GMTD,Gowa Makassar Tourism Developm,properties_real_estate,
GOLD,Visi Telekomunikasi Infrastruk,infrastructures,
GOLF,Intra Golflink Resorts Tbk.,consumer_cyclicals,
GOLL,Golden Plantation Tbk.,consumer_non_cyclicals,
GOOD,Garudafood Putra Putri Jaya Tb,consumer_non_cyclicals,
GOTO,GoTo Gojek Tokopedia Tbk.,technology,
GPRA,Perdana Gapuraprima Tbk.,properties_real_estate,
GPSO,Geoprima Solusi Tbk.,industrials,
GRIA,Ingria Pratama Capitalindo Tbk,properties_real_estate,
GRPH,Griptha Putra Persada Tbk.,consumer_cyclicals,
GRPM,Graha Prima Mentari Tbk.,consumer_non_cyclicals,
GSMF,Equity Development Investment ,financials,
GTBO,Garda Tujuh Buana Tbk,energy,
GTRA,Grahaprima Suksesmandiri Tbk.,transportasi_dan_logistik,
GTSI,GTS Internasional Tbk.,energy,
GULA,Aman Agrindo Tbk.,consumer_non_cyclicals,
GUNA,Gunanusa Eramandiri Tbk.,consumer_non_cyclicals,
GWSA,Greenwood Sejahtera Tbk.,consumer_cyclicals,
GZCO,Gozco Plantations Tbk.,consumer_non_cyclicals,
HADE,Himalaya Energi Perkasa Tbk.,infrastructures,
HAIS,Hasnur Internasional Shipping ,transportasi_dan_logistik,
HAJJ,Arsy Buana Travelindo Tbk.,consumer_cyclicals,
HALO,Haloni Jane Tbk.,healthcare,
HATM,Habco Trans Maritima Tbk.,transportasi_dan_logistik,
HBAT,Minahasa Membangun Hebat Tbk.,properties_real_estate,
HDFA,Radana Bhaskara Finance Tbk.,financials,
HDIT,Hensel Davest Indonesia Tbk.,technology,
HEAL,Medikaloka Hermina Tbk.,healthcare,
HELI,Jaya Trishindo Tbk.,transportasi_dan_logistik,
HERO,DFI Retail Nusantara Tbk.,consumer_non_cyclicals,
HEXA,Hexindo Adiperkasa Tbk.,industrials,
HGII,Hero Global Investment Tbk.,infrastructures,
HILL,Hillcon Tbk.,energy,
HITS,Humpuss Intermoda Transportasi,energy,
HKMU,HK Metals Utama Tbk.,basic_materials,
HMSP,H.M. Sampoerna Tbk.,consumer_non_cyclicals,
HOKI,Buyung Poetra Sembada Tbk.,consumer_non_cyclicals,
HOME,Hotel Mandarine Regency Tbk.,consumer_cyclicals,
HOMI,Grand House Mulia Tbk.,properties_real_estate,
HOPE,Harapan Duta Pertiwi Tbk.,industrials,
HOTL,Saraswati Griya Lestari Tbk.,consumer_cyclicals,
HRME,Menteng Heritage Realty Tbk.,consumer_cyclicals,
HRTA,Hartadinata Abadi Tbk.,consumer_cyclicals,
HRUM,Harum Energy Tbk.,energy,
HUMI,Humpuss Maritim Internasional ,energy,
HYGN,Ecocare Indo Pasifik Tbk.,industrials,
IATA,MNC Energy Investments Tbk.,energy,
IBFN,Intan Baru Prana Tbk.,industrials,
IBOS,Indo Boga Sukses Tbk.,consumer_non_cyclicals,
IBST,Inti Bangun Sejahtera Tbk.,infrastructures,
ICBP,Indofood CBP Sukses Makmur Tbk,consumer_non_cyclicals,
ICON,Island Concepts Indonesia Tbk.,industrials,
IDEA,Idea Indonesia Akademi Tbk.,consumer_cyclicals,
IDPR,Indonesia Pondasi Raya Tbk.,infrastructures,
IFII,Indonesia Fibreboard Industry ,basic_materials,
IFSH,Ifishdeco Tbk.,basic_materials,
IGAR,Champion Pacific Indonesia Tbk,basic_materials,
IIKP,Inti Agri Resources Tbk,consumer_cyclicals,
IKAI,Intikeramik Alamasri Industri ,industrials,
IKAN,Era Mandiri Cemerlang Tbk.,consumer_non_cyclicals,
IKBI,Sumi Indo Kabel Tbk.,industrials,
IKPM,Ikapharmindo Putramas Tbk.,healthcare,
IMAS,Indomobil Sukses Internasional,consumer_cyclicals,
IMJS,Indomobil Multi Jasa Tbk.,transportasi_dan_logistik,
IMPC,Impack Pratama Industri Tbk.,industrials,
INAF,Indofarma Tbk.,healthcare,
INAI,Indal Aluminium Industry Tbk.,basic_materials,
INCF,Indo Komoditi Korpora Tbk.,basic_materials,
INCI,Intanwijaya Internasional Tbk,basic_materials,
INCO,Vale Indonesia Tbk.,basic_materials,
INDF,Indofood Sukses Makmur Tbk.,consumer_non_cyclicals,
INDO,Royalindo Investa Wijaya Tbk.,properties_real_estate,
INDR,Indo-Rama Synthetics Tbk.,consumer_cyclicals,
INDS,Indospring Tbk.,consumer_cyclicals,
INDX,Tanah Laut Tbk,industrials,
INDY,Indika Energy Tbk.,energy,
INET,Sinergi Inti Andalan Prima Tbk,infrastructures,
INKP,Indah Kiat Pulp & Paper Tbk.,basic_materials,
INOV,Inocycle Technology Group Tbk.,consumer_cyclicals,
INPC,Bank Artha Graha Internasional,financials,
INPP,Indonesian Paradise Property T,properties_real_estate,
INPS,Indah Prakasa Sentosa Tbk.,energy,
INRU,Toba Pulp Lestari Tbk.,basic_materials,
INTA,Intraco Penta Tbk.,industrials,
INTD,Inter Delta Tbk,basic_materials,
INTP,Indocement Tunggal Prakarsa Tb,basic_materials,
IOTF,Sumber Sinergi Makmur Tbk.,technology,
IPAC,Era Graharealty Tbk.,properties_real_estate,
IPCC,Indonesia Kendaraan Terminal T,infrastructures,
IPCM,Jasa Armada Indonesia Tbk.,infrastructures,
IPOL,Indopoly Swakarsa Industry Tbk,basic_materials,
IPPE,Indo Pureco Pratama Tbk.,consumer_non_cyclicals,
IPTV,MNC Vision Networks Tbk.,consumer_cyclicals,
IRRA,Itama Ranoraya Tbk.,healthcare,
IRSX,Folago Global Nusantara Tbk.,technology,
ISAP,Isra Presisi Indonesia Tbk.,consumer_cyclicals,
ISAT,Indosat Tbk.,infrastructures,
ISEA,Indo American Seafoods Tbk.,consumer_non_cyclicals,
ISSP,Steel Pipe Industry of Indones,basic_materials,
ITIC,Indonesian Tobacco Tbk.,consumer_non_cyclicals,
ITMA,Sumber Energi Andalan Tbk.,energy,
ITMG,Indo Tambangraya Megah Tbk.,energy,
JARR,Jhonlin Agro Raya Tbk.,consumer_non_cyclicals,
JAST,Jasnita Telekomindo Tbk.,infrastructures,
JATI,Informasi Teknologi Indonesia ,technology,
JAWA,Jaya Agra Wattie Tbk.,consumer_non_cyclicals,
JAYA,Armada Berjaya Trans Tbk.,transportasi_dan_logistik,
JECC,Jembo Cable Company Tbk.,industrials,
JGLE,Graha Andrasentra Propertindo ,consumer_cyclicals,
JIHD,Jakarta International Hotels &,consumer_cyclicals,
JKON,Jaya Konstruksi Manggala Prata,infrastructures,
JMAS,Asuransi Jiwa Syariah Jasa Mit,financials,
JPFA,Japfa Comfeed Indonesia Tbk.,consumer_non_cyclicals,
JRPT,Jaya Real Property Tbk.,properties_real_estate,
JSKY,Sky Energy Indonesia Tbk.,energy,
JSMR,Jasa Marga (Persero) Tbk.,infrastructures,
JSPT,Jakarta Setiabudi Internasiona,consumer_cyclicals,
JTPE,Jasuindo Tiga Perkasa Tbk.,industrials,
KAEF,Kimia Farma Tbk.,healthcare,
KAQI,Jantra Grupo Indonesia Tbk.,consumer_cyclicals,
KARW,Meratus Jasa Prima Tbk.,infrastructures,
KAYU,Darmi Bersaudara Tbk.,basic_materials,
KBAG,Karya Bersama Anugerah Tbk.,properties_real_estate,
KBLI,KMI Wire & Cable Tbk.,industrials,
KBLM,Kabelindo Murni Tbk.,industrials,
KBLV,First Media Tbk.,infrastructures,
KBRI,Kertas Basuki Rachmat Indonesi,basic_materials,
KDSI,Kedawung Setia Industrial Tbk.,basic_materials,
KDTN,Puri Sentul Permai Tbk.,consumer_cyclicals,
KEEN,Kencana Energi Lestari Tbk.,infrastructures,
KEJU,Mulia Boga Raya Tbk.,consumer_non_cyclicals,
KETR,Ketrosden Triasmitra Tbk.,infrastructures,
KIAS,Keramika Indonesia Assosiasi T,industrials,
KICI,Kedaung Indah Can Tbk,consumer_cyclicals,
KIJA,Kawasan Industri Jababeka Tbk.,properties_real_estate,
KING,Hoffmen Cleanindo Tbk.,industrials,
KINO,Kino Indonesia Tbk.,consumer_non_cyclicals,
KIOS,Kioson Komersial Indonesia Tbk,technology,
KJEN,Krida Jaringan Nusantara Tbk.,transportasi_dan_logistik,
